Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,developed
Maldives,0.0,0.0,1,0.99,0.98,0.97,0.97,0.97,1.01,1.01,1,1,0.99,0.98,0.97,0.98,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mali,0.61,0.61,0.61,0.62,0.64,0.69,0.67,0.67,0.71,0.72,0.75,0.74,0.76,0.77,0.79,0.8,0.82,0.83,0.85,0.86,0.87,0.88,0.88,0.0,0.0,0.0,0.0,0
Malta,0.97,0.97,0.98,0.98,0.98,0.97,0.99,0.99,1,1,1,0.99,0.98,0.98,0.98,0.97,0.99,1,1.01,1.02,1.02,1.02,1,0.0,0.0,0.0,0.0,1
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.93,1.02,0.95,1.26,1,0.99,1.01,1,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0
Martinique,0.96,0.97,0.97,0.99,0.98,0.98,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mauritania,0.73,0.75,0.78,0.82,0.84,0.84,0.87,0.91,0.94,0.97,0.97,0.96,0.98,1,1.01,1.03,1.02,1.03,1.04,1.05,1.05,1.06,1.05,1.05,0.0,0.0,0.0,0
Mauritius,1.01,1.01,1.01,1.01,1,1,0.99,1,1,1,0.99,0.99,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0
Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,0.97,0.97,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.99,1,1,1,1,1,1,0.0,0.0,0.0,0
"Micronesia, Federated States of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.97,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mongolia,0.0,0.99,1.01,1.01,1.04,1.03,1.01,1.03,1.02,1.01,1.01,1.01,1.01,1,0.99,1,1,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.0,0.0,0.0,0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.99,0.99,1,1,0.98,0.98,1,1.01,0.0,0.0,0.0,0.0,1
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.97,1.04,1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Morocco,0.68,0.69,0.7,0.71,0.72,0.74,0.75,0.77,0.79,0.82,0.85,0.88,0.9,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.0,0.0,0
Mozambique,0.76,0.74,0.75,0.74,0.73,0.72,0.0,0.0,0.73,0.74,0.75,0.77,0.79,0.0,0.83,0.84,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.91,0.0,0.0,0.0,0
Myanmar,0.93,0.94,0.94,0.94,0.94,0.94,0.0,0.0,0.0,0.97,0.98,0.98,0.99,0.99,1,1,0.99,0.0,0.99,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0
Namibia,1.09,1.04,1.02,1.01,1,0.99,1,1,1,1.01,1,1,1.01,1,1,1,1,0.99,0.98,0.98,0.98,0.0,0.97,0.0,0.0,0.0,0.0,0
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,1.33,1.09,0.97,0.99,1.02,1.05,0.99,1.04,1.06,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0
Nepal,0.59,0.62,0.65,0.66,0.69,0.7,0.72,0.0,0.0,0.76,0.78,0.83,0.85,0.87,0.88,0.92,0.96,1,1.03,1.05,1.07,1.09,1.08,1.08,1.09,0.0,0.0,0
Netherlands,1.03,1.03,1.02,1.03,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.0,0.0,0.0,1
Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New Zealand,0.98,0.99,0.99,0.99,1,1,1,0.99,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1.01,1,1,0.0,0.0,0.0,1
Nicaragua,1.07,1.06,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.01,1.01,1.01,0.99,0.98,0.98,0.97,0.98,0.98,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0
Niger,0.6,0.6,0.61,0.61,0.58,0.63,0.63,0.64,0.66,0.67,0.68,0.69,0.69,0.7,0.71,0.72,0.73,0.74,0.78,0.79,0.82,0.83,0.84,0.84,0.0,0.0,0.0,0
Nigeria,0.79,0.81,0.82,0.81,0.82,0.83,0.86,0.0,0.0,0.81,0.81,0.83,0.83,0.0,0.84,0.85,0.87,0.89,0.9,0.9,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1,0.0,0.96,0.0,0.0,1.03,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1,1,1,0.0,0.0,0.0,1
Oman,0.9,0.92,0.93,0.95,0.98,0.99,0.97,0.98,0.99,0.98,0.97,0.98,0.96,0.96,0.0,0.99,1,0.98,0.97,0.94,0.0,1.01,1.01,1.07,0.0,0.0,0.0,0
Pakistan,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.68,0.73,0.73,0.77,0.79,0.83,0.84,0.85,0.85,0.86,0.87,0.87,0.0,0.0,0.0,0
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.97,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.96,0.0,0.0,0
Panama,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.0,0.0,0.0,0
Papua New Guinea,0.84,0.85,0.85,0.86,0.86,0.87,0.86,0.87,0.87,0.0,0.86,0.86,0.85,0.86,0.87,0.85,0.85,0.0,0.89,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0
Paraguay,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97,0.0,0.0,0.0,0.0,0
Peru,0.0,0.97,0.97,0.97,0.0,0.97,0.0,0.0,0.99,0.99,0.99,1,1,0.99,0.99,1,0.99,0.99,1,1,1,0.99,0.99,0.99,0.0,0.0,0.0,0
Philippines,0.98,0.99,1,1,1.02,0.99,0.98,1,1,1,0.0,1,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0
Poland,0.98,0.98,0.97,0.98,0.98,0.98,0.99,0.98,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,0.0,0.0,0.0,1
Portugal,0.96,0.95,0.96,0.96,0.95,0.95,0.95,0.0,0.96,0.96,0.96,0.98,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.97,0.97,0.98,0.98,0.98,0.0,0.0,0.0,1
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,1.04,1.05,1.02,0.0,0.0,0.0,0
Qatar,0.94,0.94,0.93,0.96,0.96,0.99,1.05,1.08,0.99,1.06,1.05,1.05,0.93,0.89,0.87,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Republic of Moldova,0.99,1,1,0.99,1,0.99,0.0,0.0,0.0,1,0.99,1,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,1,0.99,1,1,0.0,0.0,0.0,1
Reunion,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Romania,0.99,1,1,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.0,0.0,0.0,0.0,1
Russian Federation,1,1,1,1,1,0.99,0.0,0.0,0.0,0.99,0.99,0.99,0.99,1,0.0,1,1,1,1,1,0.0,1.01,1.01,1.01,0.0,0.0,0.0,1
Rwanda,0.99,0.99,0.98,0.0,0.0,0.0,0.0,0.98,0.96,0.96,0.94,0.95,0.95,0.95,0.97,1,1.03,1.02,1.03,1.03,1.03,1.03,1.02,1.02,0.0,0.0,0.0,0
Saint Helena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saint Kitts and Nevis,0.94,0.99,0.97,0.98,0.99,1.01,0.0,0.0,0.98,0.0,1.04,1.09,1.05,1.02,1.05,1.02,0.0,1,1.01,1.02,1,1.02,1.01,1.03,0.0,0.0,0.0,0
Saint Lucia,0.95,0.95,0.93,0.93,0.0,0.0,0.0,0.93,0.0,0.95,0.97,0.95,0.97,0.95,0.95,0.96,0.92,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saint Pierre and Miquelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Saint Vincent and the Grenadines,0.0,0.99,0.0,0.0,0.95,0.0,0.0,0.0,0.92,0.92,0.95,0.95,0.96,0.97,0.96,0.91,0.0,0.95,0.92,0.93,0.93,0.97,0.96,0.95,0.0,0.0,0.0,0
Samoa,0.0,0.0,0.0,0.0,1.02,1.03,1.02,1.03,1.05,1,1.02,1.02,1.01,1.01,1.01,1.01,1,1,0.0,0.97,0.99,1,1,0.0,0.0,0.0,0.0,0
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.13,0.99,0.99,0.0,0.0,0.0,0.0,1
Sao Tome and Principe,0.91,0.92,0.97,0.0,0.0,0.0,0.97,0.0,0.82,0.97,0.0,0.0,0.96,0.97,0.98,0.97,0.0,1,0.98,1.01,0.99,0.97,0.97,0.98,0.96,0.0,0.0,0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.99,0.99,1.02,1.03,1.06,1.04,1.05,0.0,0.0,0
Senegal,0.73,0.74,0.75,0.75,0.75,0.77,0.8,0.82,0.84,0.83,0.87,0.89,0.9,0.92,0.95,0.96,0.98,1,1.02,1.04,1.05,1.06,1.08,0.0,1.09,0.0,0.0,0
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,1,0.99,1,1,1.01,1,1,1,0.99,0.99,1,1,1,0.0,0.0,0.0,1
Serbia and Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Seychelles,0.0,1,0.99,0.98,1.01,1.01,1.02,1.01,1.01,1.03,1.03,1.02,1,0.99,0.99,0.97,0.0,1.03,1.04,1.04,1.04,1.05,1.03,1.01,0.0,0.0,0.0,0
Sierra Leone,0.68,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.99,1,0.0,0.0,0.0,0
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Slovakia,0.0,0.99,0.99,1,1,1,1,1,0.99,0.98,0.99,0.99,1,0.99,0.99,0.99,0.99,1,1,1,1,1,1,0.99,0.0,0.0,0.0,1
Slovenia,0.0,0.0,0.0,0.99,1,1,1,0.99,1,0.99,1.02,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1,1,0.0,0.0,0.0,1
Solomon Islands,0.85,0.85,0.85,0.85,0.87,0.0,0.0,0.0,0.0,0.93,0.92,0.0,0.94,0.0,0.0,0.94,0.95,0.95,0.0,0.0,0.97,0.97,0.98,0.99,0.0,0.0,0.0,0
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
South Africa,0.99,0.99,0.0,0.0,0.97,0.98,0.0,0.97,0.97,0.97,0.95,0.96,0.96,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.0,0.0,0.0,0
South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0
Spain,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.01,0.0,0.0,0.0,1
Sri Lanka,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.0,0.98,0.0,0.0,0.99,0.99,1,1.07,1,1,1,1,1,0.99,0.98,1,0.99,0.0,0.0,0.0,0
State of Palestine,0.0,0.0,0.0,0.0,0.0,0.99,0.99,1,0.0,1,1,1,1,1,1,0.99,1,1,1,1,0.98,0.99,0.99,1.01,0.0,0.0,0.0,0
Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.84,0.86,0.85,0.88,0.87,0.84,0.87,0.89,0.9,0.89,0.89,0.0,0.0,0.0,0.0,0
Sudan (former),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Suriname,1.1,1.02,1.01,0.98,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.97,0.96,0.94,0.96,0.95,0.0,0.96,0.0,0.96,0.0,0.0,0.0,0
Swaziland,1,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.96,0.94,0.96,0.94,0.94,0.93,0.93,0.0,0.92,0.92,0.9,0.92,0.0,0.0,0.0,0.0,0
Sweden,1,1,1,1.01,1.01,1.01,1.01,1.01,1.03,1.03,1.03,1.03,1.03,1.03,1,1,1,1,0.99,1,1,1,1,1.06,0.0,0.0,0.0,1
Switzerland,1.01,1.01,1.01,0.99,1,1,1,0.0,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1
Syrian Arab Republic,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.92,0.93,0.93,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.0,0.0,0.0,0
Tajikistan,0.0,0.98,0.98,0.96,0.97,0.97,0.95,0.97,0.95,0.94,0.93,0.93,0.96,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.0,0.99,0.0,0.0,0
Thailand,0.0,0.98,0.98,0.98,0.0,0.0,0.0,0.0,0.98,0.97,0.97,0.98,0.98,0.0,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.0,0.0,0.0,0
The former Yugoslav Republic of Macedonia,0.0,0.0,0.0,0.99,0.99,0.99,0.98,0.98,0.97,0.98,0.99,1,1.01,1,0.99,0.99,0.99,0.99,1,1,1,0.0,1,0.0,0.0,0.0,0.0,1
Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.91,0.0,0.0,0.94,0.95,0.96,0.95,0.0,0.0,0.0,0.0,0.0,0
Togo,0.64,0.65,0.66,0.0,0.66,0.68,0.69,0.7,0.72,0.75,0.78,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.85,0.9,0.91,0.92,0.89,0.0,0.0,0.0,0
Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.13,1.12,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tonga,0.99,1,1.01,1.01,0.98,0.99,0.97,0.96,0.95,0.95,0.95,0.96,0.96,0.95,0.95,0.97,0.96,0.96,0.95,0.98,0.98,0.99,1,1,0.0,0.0,0.0,0
Trinidad and Tobago,1.02,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.97,0.97,0.97,0.0,0.97,0.97,0.96,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0
Tunisia,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97,0.0,0.0,0.0,0
Turkey,0.91,0.91,0.91,0.91,0.92,0.92,0.0,0.92,0.0,0.91,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.03,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.13,1.13,1.08,1.03,0.96,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Uganda,0.8,0.82,0.79,0.8,0.93,0.84,0.87,0.88,0.9,0.91,0.94,0.96,0.98,0.98,0.98,0.99,1,1,1.01,1.01,1.01,1.02,0.0,1.02,0.0,0.0,0.0,0
Ukraine,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,1,1,1,1,1,0.99,1,1,1,1,1,1.01,1.01,1.02,1.02,0.0,0.0,0.0,1
Union of Soviet Socialist Republics [former],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
United Arab Emirates,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.0,0.0,0.0,0.0,0.94,0.96,0.99,0.97,0.0,0.92,0.93,0.93,0.97,0.0,0.0,0.0,0.0,0
United Kingdom,1,1.01,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.0,0.0,0.0,1
United Republic of Tanzania,0.99,0.98,0.97,0.97,0.98,0.98,0.98,0.99,0.99,1,0.99,0.98,0.97,0.96,0.96,0.96,0.97,0.98,0.99,1,1.02,0.0,1.03,1.04,0.0,0.0,0.0,0
United States,0.99,0.98,0.0,0.98,0.99,0.99,0.99,0.0,1.03,1.03,0.98,1,1.01,1,1,0.99,1.01,1,1,1,0.99,1,0.98,0.99,0.0,0.0,0.0,1
United States Virgin Islands,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Uruguay,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0
Uzbekistan,0.99,0.98,0.99,1,0.98,0.96,0.97,1,1,1,1,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0
Vanuatu,0.98,0.96,0.96,0.97,0.97,0.0,0.0,0.98,0.98,0.98,0.97,0.99,0.99,0.99,0.98,0.97,0.98,0.98,1,0.99,0.99,0.0,0.0,0.96,0.0,0.0,0.0,0
Venezuela,0.0,0.99,0.98,0.98,0.0,0.0,0.98,0.98,0.0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.0,0.0,0.0,0
Viet Nam,0.0,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.95,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.97,0.0,0.98,0.95,0.96,1.01,0.98,0.0,0.0,0.0,0
Wallis and Futuna Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.62,0.66,0.69,0.71,0.74,0.0,0.0,0.8,0.0,0.82,0.82,0.83,0.84,0.0,0.0,0.0,0
Yugoslavia [former Socialist Federal Republic],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zambia,0.0,0.0,0.0,0.0,0.91,0.92,0.91,0.0,0.92,0.91,0.92,0.93,0.92,0.0,0.94,0.94,0.97,0.96,0.96,0.98,1,0.98,0.99,0.99,0.0,0.0,0.0,0
Zimbabwe,0.99,0.97,0.99,0.0,0.0,0.97,0.97,0.0,0.97,0.97,0.97,0.97,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0
