CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
496,Mongolia,611,Y,Gender Parity Index in primary level enrolment,,0.99,1.01,1.01,1.04,1.03,1.01,1.03,1.02,1.01,1.01,1.01,1.01,1,0.99,1,1,0.99,0.99,0.98,0.98,0.98,0.97,0.97,, , 
499,Montenegro,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,1,1,0.98,0.98,1,1.01,,, , 
500,Montserrat,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,, , , ,0.96,,0.97,1.04,1,1.12,,,,,,,, , 
504,Morocco,611,Y,Gender Parity Index in primary level enrolment,0.68,0.69,0.7,0.71,0.72,0.74,0.75,0.77,0.79,0.82,0.85,0.88,0.9,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95, , 
508,Mozambique,611,Y,Gender Parity Index in primary level enrolment,0.76,0.74,0.75,0.74,0.73,0.72,,,0.73,0.74,0.75,0.77,0.79,,0.83,0.84,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.91,, , 
104,Myanmar,611,Y,Gender Parity Index in primary level enrolment,0.93,0.94,0.94,0.94,0.94,0.94,,,,0.97,0.98,0.98,0.99,0.99,1,1,0.99, ,0.99,0.98,0.99,,,,, , 
516,Namibia,611,Y,Gender Parity Index in primary level enrolment,1.09,1.04,1.02,1.01,1,0.99,1,1,1,1.01,1,1,1.01,1,1,1,1,0.99,0.98,0.98,0.98,,0.97,,, , 
520,Nauru,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,0.96,,1.33,1.09,0.97,0.99,1.02,1.05,0.99,1.04,1.06,,,,1.03,,, , 
524,Nepal,611,Y,Gender Parity Index in primary level enrolment,0.59,0.62,0.65,0.66,0.69,0.7,0.72,,,0.76,0.78,0.83,0.85,0.87,0.88,0.92,0.96,1,1.03,1.05,1.07,1.09,1.08,1.08,1.09, , 
528,Netherlands,611,Y,Gender Parity Index in primary level enrolment,1.03,1.03,1.02,1.03,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,, , 
530,Netherlands Antilles,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
540,New Caledonia,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
554,New Zealand,611,Y,Gender Parity Index in primary level enrolment,0.98,0.99,0.99,0.99,1,1,1,0.99,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1.01,1,1,, , 
558,Nicaragua,611,Y,Gender Parity Index in primary level enrolment,1.07,1.06,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.01,1.01,1.01,0.99,0.98,0.98,0.97,0.98,0.98,0.98,,0.98,,,,, , 
562,Niger,611,Y,Gender Parity Index in primary level enrolment,0.6,0.6,0.61,0.61,0.58,0.63,0.63,0.64,0.66,0.67,0.68,0.69,0.69,0.7,0.71,0.72,0.73,0.74,0.78,0.79,0.82,0.83,0.84,0.84,, , 
566,Nigeria,611,Y,Gender Parity Index in primary level enrolment,0.79,0.81,0.82,0.81,0.82,0.83,0.86,,,0.81,0.81,0.83,0.83,,0.84,0.85,0.87,0.89,0.9,0.9,0.92,,, ,, , 
570,Niue,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,0.87,1,,0.96,,,1.03,0.89,,,,,,,,,, , 
580,Northern Mariana Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
578,Norway,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1,1,1,, , 
512,Oman,611,Y,Gender Parity Index in primary level enrolment,0.9,0.92,0.93,0.95,0.98,0.99,0.97,0.98,0.99,0.98,0.97,0.98,0.96,0.96, ,0.99,1,0.98,0.97,0.94, ,1.01,1.01,1.07,, , 
586,Pakistan,611,Y,Gender Parity Index in primary level enrolment,0.53,,,,,,,,,,0.68,0.68,0.68,0.73,0.73,0.77,0.79,0.83,0.84,0.85,0.85,0.86,0.87,0.87,, , 
585,Palau,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,0.93,0.97,,,,0.97,,,,,,,,,0.98,0.96, , 
591,Panama,611,Y,Gender Parity Index in primary level enrolment,0.96,,,,,,,,,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.97,, , 
598,Papua New Guinea,611,Y,Gender Parity Index in primary level enrolment,0.84,0.85,0.85,0.86,0.86,0.87,0.86,0.87,0.87, ,0.86,0.86,0.85,0.86,0.87,0.85,0.85,,0.89,,,,0.91,,, , 
600,Paraguay,611,Y,Gender Parity Index in primary level enrolment,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.97,,, , 
604,Peru,611,Y,Gender Parity Index in primary level enrolment,,0.97,0.97,0.97,,0.97,,,0.99,0.99,0.99,1,1,0.99,0.99,1,0.99,0.99,1,1,1,0.99,0.99,0.99,, , 
608,Philippines,611,Y,Gender Parity Index in primary level enrolment,0.98,0.99,1,1,1.02,0.99,0.98,1,1,1,,1,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98, , ,,0.96,, , 
616,Poland,611,Y,Gender Parity Index in primary level enrolment,0.98,0.98,0.97,0.98,0.98,0.98,0.99,0.98,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,, , 
620,Portugal,611,Y,Gender Parity Index in primary level enrolment,0.96,0.95,0.96,0.96,0.95,0.95,0.95,,0.96,0.96,0.96,0.98,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.97,0.97,0.98,0.98,0.98,, , 
630,Puerto Rico,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,1.04,1.04,1.04,1.05,1.02,, , 
634,Qatar,611,Y,Gender Parity Index in primary level enrolment,0.94,0.94,0.93,0.96,0.96,0.99,1.05,1.08,0.99,1.06,1.05,1.05,0.93,0.89,0.87,0.9, , , , , , , , ,, , 
498,Republic of Moldova,611,Y,Gender Parity Index in primary level enrolment,0.99,1,1,0.99,1,0.99,,,,1,0.99,1,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,1,0.99,1,1,, , 
638,Reunion,611,Y,Gender Parity Index in primary level enrolment,,,,,0.98,,,,,,,,,,,,,,,,,,,,, , 
642,Romania,611,Y,Gender Parity Index in primary level enrolment,0.99,1,1,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,,, , 
643,Russian Federation,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1,1,0.99,,,,0.99,0.99,0.99,0.99,1, ,1,1,1,1,1,,1.01,1.01,1.01,, , 
646,Rwanda,611,Y,Gender Parity Index in primary level enrolment,0.99,0.99,0.98,,,,,0.98,0.96,0.96,0.94,0.95,0.95,0.95,0.97,1,1.03,1.02,1.03,1.03,1.03,1.03,1.02,1.02,, , 
654,Saint Helena,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
659,Saint Kitts and Nevis,611,Y,Gender Parity Index in primary level enrolment,0.94,0.99,0.97,0.98,0.99,1.01,,,0.98,,1.04,1.09,1.05,1.02,1.05,1.02,,1,1.01,1.02,1,1.02,1.01,1.03,, , 
662,Saint Lucia,611,Y,Gender Parity Index in primary level enrolment,0.95,0.95,0.93,0.93,,,,0.93,,0.95,0.97,0.95,0.97,0.95,0.95,0.96,0.92,0.95, , , , , , ,, , 
666,Saint Pierre and Miquelon,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
670,Saint Vincent and the Grenadines,611,Y,Gender Parity Index in primary level enrolment,,0.99,,,0.95,,,,0.92,0.92,0.95,0.95,0.96,0.97,0.96,0.91,,0.95,0.92,0.93,0.93,0.97,0.96,0.95,, , 
882,Samoa,611,Y,Gender Parity Index in primary level enrolment,,,,,1.02,1.03,1.02,1.03,1.05,1,1.02,1.02,1.01,1.01,1.01,1.01,1,1,,0.97,0.99,1,1,,, , 
674,San Marino,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,1.01,1.13,0.99,0.99,,, , 
678,Sao Tome and Principe,611,Y,Gender Parity Index in primary level enrolment,0.91,0.92,0.97,,,,0.97,,0.82,0.97,,,0.96,0.97,0.98,0.97,,1,0.98,1.01,0.99,0.97,0.97,0.98,0.96, , 
682,Saudi Arabia,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,, ,0.99,,0.99,0.99,0.99,1.02,1.03,1.06,1.04,1.05, , 
686,Senegal,611,Y,Gender Parity Index in primary level enrolment,0.73,0.74,0.75,0.75,0.75,0.77,0.8,0.82,0.84,0.83,0.87,0.89,0.9,0.92,0.95,0.96,0.98,1,1.02,1.04,1.05,1.06,1.08,,1.09, , 
688,Serbia,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,0.99,0.99,1,0.99,1,1,1.01,1,1,1,0.99,0.99,1,1,1,, , 
891,Serbia and Montenegro,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
690,Seychelles,611,Y,Gender Parity Index in primary level enrolment,,1,0.99,0.98,1.01,1.01,1.02,1.01,1.01,1.03,1.03,1.02,1,0.99,0.99,0.97,,1.03,1.04,1.04,1.04,1.05,1.03,1.01,, , 
694,Sierra Leone,611,Y,Gender Parity Index in primary level enrolment,0.68,0.69,,,,,,,,,0.92,0.7,,, , ,, ,,,,0.95,0.99,1,, , 
702,Singapore,611,Y,Gender Parity Index in primary level enrolment, , , , , , , ,,,,,,,,,,, , , ,,,,,, , 
703,Slovakia,611,Y,Gender Parity Index in primary level enrolment,,0.99,0.99,1,1,1,1,1,0.99,0.98,0.99,0.99,1,0.99,0.99,0.99,0.99,1,1,1,1,1,1,0.99,, , 
705,Slovenia,611,Y,Gender Parity Index in primary level enrolment,,,,0.99,1,1,1,0.99,1,0.99,1.02,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1,1,, , 
90,Solomon Islands,611,Y,Gender Parity Index in primary level enrolment,0.85,0.85,0.85,0.85,0.87,,,,,0.93,0.92,,0.94,,,0.94,0.95,0.95,,,0.97,0.97,0.98,0.99,, , 
706,Somalia,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,0.55,,,,,,,, , 
710,South Africa,611,Y,Gender Parity Index in primary level enrolment,0.99,0.99,,,0.97,0.98,,0.97,0.97,0.97,0.95,0.96,0.96,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,, , 
728,South Sudan,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,, , , , ,,0.66,,,, , 
724,Spain,611,Y,Gender Parity Index in primary level enrolment,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.01,, , 
144,Sri Lanka,611,Y,Gender Parity Index in primary level enrolment,0.97,0.97,0.97,0.97,0.97,0.97,0.97,,0.98,,,0.99,0.99,1,1.07,1,1,1,1,1,0.99,0.98,1,0.99,, , 
275,State of Palestine,611,Y,Gender Parity Index in primary level enrolment,,,,,,0.99,0.99,1,,1,1,1,1,1,1,0.99,1,1,1,1,0.98,0.99,0.99,1.01,, , 
729,Sudan,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,0.85,0.84,0.86,0.85,0.88,0.87,0.84,0.87,0.89,0.9,0.89,0.89,,, , 
736,Sudan (former),611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
740,Suriname,611,Y,Gender Parity Index in primary level enrolment,1.1,1.02,1.01,0.98,1.03,,,,,,,0.99,0.98,,,0.97,0.96,0.94,0.96,0.95,,0.96,,0.96,, , 
748,Swaziland,611,Y,Gender Parity Index in primary level enrolment,1,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.96,0.94,0.96,0.94,0.94,0.93,0.93,,0.92,0.92,0.9,0.92,,, , 
752,Sweden,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1.01,1.01,1.01,1.01,1.01,1.03,1.03,1.03,1.03,1.03,1.03,1,1,1,1,0.99,1,1,1,1,1.06,, , 
756,Switzerland,611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1.01,0.99,1,1,1,,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1, ,, , 
760,Syrian Arab Republic,611,Y,Gender Parity Index in primary level enrolment,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.92,0.93,0.93,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,, , 
762,Tajikistan,611,Y,Gender Parity Index in primary level enrolment,,0.98,0.98,0.96,0.97,0.97,0.95,0.97,0.95,0.94,0.93,0.93,0.96,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.98,,0.99, , 
764,Thailand,611,Y,Gender Parity Index in primary level enrolment,,0.98,0.98,0.98,,,,,0.98,0.97,0.97,0.98,0.98,,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,, , 
807,The former Yugoslav Republic of Macedonia,611,Y,Gender Parity Index in primary level enrolment,,,,0.99,0.99,0.99,0.98,0.98,0.97,0.98,0.99,1,1.01,1,0.99,0.99,0.99,0.99,1,1,1, ,1,,, , 
626,Timor-Leste,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,0.92,0.91,, ,0.94,0.95,0.96,0.95,,,, , 
768,Togo,611,Y,Gender Parity Index in primary level enrolment,0.64,0.65,0.66,,0.66,0.68,0.69,0.7,0.72,0.75,0.78,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.85,0.9,0.91,0.92,0.89,, , 
772,Tokelau,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,1.15,1.13,1.12,1.3,,,,,,,,,,,, , 
776,Tonga,611,Y,Gender Parity Index in primary level enrolment,0.99,1,1.01,1.01,0.98,0.99,0.97,0.96,0.95,0.95,0.95,0.96,0.96,0.95,0.95,0.97,0.96,0.96,0.95,0.98,0.98,0.99,1,1,, , 
780,Trinidad and Tobago,611,Y,Gender Parity Index in primary level enrolment,1.02,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.97,0.97,0.97,,0.97,0.97,0.96,0.97,,,,, , 
788,Tunisia,611,Y,Gender Parity Index in primary level enrolment,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97,, , 
792,Turkey,611,Y,Gender Parity Index in primary level enrolment,0.91,0.91,0.91,0.91,0.92,0.92,,0.92,,0.91,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,, , 
795,Turkmenistan,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,0.98, , 
796,Turks and Caicos Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,0.95,1.03,1.04,,,,,,,,,, , 
798,Tuvalu,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,1.04,1.13,1.13,1.08,1.03,0.96,0.95,,,,,,,1,, , 
800,Uganda,611,Y,Gender Parity Index in primary level enrolment,0.8,0.82,0.79,0.8,0.93,0.84,0.87,0.88,0.9,0.91,0.94,0.96,0.98,0.98,0.98,0.99,1,1,1.01,1.01,1.01,1.02,,1.02,, , 
804,Ukraine,611,Y,Gender Parity Index in primary level enrolment,,,,1,1,,,,1,1,1,1,1,1,0.99,1,1,1,1,1,1.01,1.01,1.02,1.02,, , 
810,Union of Soviet Socialist Republics [former],611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
784,United Arab Emirates,611,Y,Gender Parity Index in primary level enrolment,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.99, , , , ,0.94,0.96,0.99,0.97,,0.92,0.93,0.93,0.97, ,, , 
826,United Kingdom,611,Y,Gender Parity Index in primary level enrolment,1,1.01,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,, , 
834,United Republic of Tanzania,611,Y,Gender Parity Index in primary level enrolment,0.99,0.98,0.97,0.97,0.98,0.98,0.98,0.99,0.99,1,0.99,0.98,0.97,0.96,0.96,0.96,0.97,0.98,0.99,1,1.02,,1.03,1.04,, , 
840,United States,611,Y,Gender Parity Index in primary level enrolment,0.99,0.98,,0.98,0.99,0.99,0.99,,1.03,1.03,0.98,1,1.01,1,1,0.99,1.01,1,1,1,0.99,1,0.98,0.99,, , 
850,United States Virgin Islands,611,Y,Gender Parity Index in primary level enrolment,,0.86,,,,,,,,,,,,,,,,,,,,,,,, , 
858,Uruguay,611,Y,Gender Parity Index in primary level enrolment,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.97,,,,, , 
860,Uzbekistan,611,Y,Gender Parity Index in primary level enrolment,0.99,0.98,0.99,1,0.98,0.96,0.97,1,1,1,1,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,,,, , 
548,Vanuatu,611,Y,Gender Parity Index in primary level enrolment,0.98,0.96,0.96,0.97,0.97,,,0.98,0.98,0.98,0.97,0.99,0.99,0.99,0.98,0.97,0.98,0.98,1,0.99,0.99,,,0.96,, , 
862,Venezuela,611,Y,Gender Parity Index in primary level enrolment,,0.99,0.98,0.98,,,0.98,0.98,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.98,0.98,, , 
704,Viet Nam,611,Y,Gender Parity Index in primary level enrolment,,0.99,,,,0.99,,,0.95,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.97,,0.98,0.95,0.96,1.01,0.98,, , 
876,Wallis and Futuna Islands,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
732,Western Sahara,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
887,Yemen,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,0.56,,0.62,0.66,0.69,0.71,0.74,,,0.8,,0.82,0.82,0.83,0.84,, , 
890,Yugoslavia [former Socialist Federal Republic],611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
894,Zambia,611,Y,Gender Parity Index in primary level enrolment,,,,,0.91,0.92,0.91,,0.92,0.91,0.92,0.93,0.92,,0.94,0.94,0.97,0.96,0.96,0.98,1,0.98,0.99,0.99,, , 
716,Zimbabwe,611,Y,Gender Parity Index in primary level enrolment,0.99,0.97,0.99,,,0.97,0.97,,0.97,0.97,0.97,0.97,0.98,0.99,,, ,,,,,,0.99,,, , 
